,US Customer Name,US Review title,US Ratings,Reviews
125,Mel,This water bottle is amazingly stylish and draws the attention ...,4.0 out of 5 stars,  This water bottle is amazingly stylish and draws the attention of most people who see me drinking from it! The reason I left off one star was because the lid is not actually as secure as I feel it could be. Making it with a twist on and off cap would probably be more beneficial so water wouldn't leak out
126,Janice Lee,"if you are active, do NOT buy this.",1.0 out of 5 stars,"  I bought this water bottle because my last one kept leaking, and I felt confident with this product after reading so many glowing reviews about its anti-leaking capabilities. Well, it has leaked on more than one occasion but I kept forgiving it...until today. Today I went to the gym and left my bag on the floor with my water bottle, cell phone, and iPod in it. I came back a few minutes later to find the bottle had miraculously opened itself and generously spilled all of its contents all over my electronic devices, which are now relaxing in a bowl of rice.If you just need a water bottle for your office, home, or any place that would not entail a lot of physical activity involving the bottle, go ahead and get it. But if you are like me, and you are rather athletic and you hit the gym a lot, and throw water bottles into a backpack for various activities, I would stick with a traditional twist-top opening bottle to ensure no leakage. This fancy water bottle was nice for a few weeks but ultimately it sucks for anyone with an active lifestyle."
127,rr,Beautiful design.,4.0 out of 5 stars,"  Beautiful design, but toppled over sometimes."
128,AAA133,Top did not close correctly and WAY too big.,2.0 out of 5 stars,"  This bottle is like a jug. HUGE jug, so unless you want to carry around an absolutely HUGE vessel (it truly is a vessel), consider ordering the KOR Delta. This one is also extremely hard to hold, since the top is a bit strangely constructed. Also, mine would not close correctly. There are two clasps on either side that are supposed to snap for the top to stay on and one would not snap, so one side would be closed while the other you could clearly see a crack, and hence it would leak."
129,Amazon Customer,Bad design for the price point,2.0 out of 5 stars,"  Was looking for a water bottle with sleek design in a flip top style. Looking forward to Kor One based on several online reviews.However, the look and feel is very ""industrial"". Have received multiple comments from people at work at how bulky and unattractive the bottle looks. It does not feel nice to hold and there is a very loud click when you open and close the cap that is mildly annoying.Really wanted to like the bottle, unfortunately am very disappointed with the overall product."
130,Jesse,Large yet not bulky with a stylish appeal !,5.0 out of 5 stars,"  This has replaced my stainless steel water bottle that I couldn't live without for many reasons. First, I like the design of this bottle a lot more because of the handle and the way to cap snaps back and stays while you are drinking. Its also a more oval shape which fits in more spaces in my bag than my other water bottle. I love the size and the look of this and will continue to use it for a long time!"
131,SweetSophieSmiles,Beautiful but disappointing.,1.0 out of 5 stars,"  I was very disappointed in this water bottle. Had it for two days bedore the top/cap broke off. Important to note that it is not at all insulated so water doesn't stay cold or even cool.  Also, the base is a bit too wide for standard car cup holders. Other than that, it is elegant, beautiful and has so,e sweet touches like a customizable message inside the lid. I wish that it still worked!! Seems like a $20 reusable water bottle should be a bit more sturdy than a one time use bottle."
132,Anthony Lagambina,Form over Function,1.0 out of 5 stars,"  I bought this water bottle because I was looking for a quality item, that valued form and function.  After about 3 months of use, the seal between the bottle and the top where the mouthpiece is separated and if the bottle is tipped, it will leak.  I have never dropped the bottle or mishandled in any way.  This may just be a random defect, or may be a one time thing, but now I have a $30 piece of plastic that cannot preform it's sole purpose, and it is too late to return it.  Something like this should not be disposable."
133,Amazon Customer,Save your money. Buy something cheaper.,1.0 out of 5 stars,  Not worth the price in my opinion. Top wouldn’t secure repeatably on one side.  Dropped it and the top shattered. Didn’t last a month before it got slammed in the trash.  Won’t rebuy and wouldn’t recommend.
134,Heather P.,Just ok.,2.0 out of 5 stars,"  These seem really cool initially, but they don't keep beverages cold and they sweat.  Also the flip top lid starts to skew a bit after extended use.  For the price it should have been built a bit better.  My husband swears he smells something weird in his even though it's been washed several times.  I purchased a Hydroflask and am much happier with that purchase."
